Name,Rank,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Pokemon Black/Pokemon White,27,2010.0,5.57,3.28,5.65,0.82,15.32
Brain Age 2: More Training in Minutes a Day,28,2005.0,3.44,5.36,5.32,1.18,15.3
Gran Turismo 3: A-Spec,29,2001.0,6.85,5.09,1.87,1.16,14.98
Pokémon Yellow: Special Pikachu Edition,31,1998.0,5.89,5.04,3.12,0.59,14.64
Pokemon X/Pokemon Y,33,2013.0,5.17,4.05,4.34,0.79,14.35
Need for Speed: Most Wanted,47302,24096.0,6.289999999999999,5.85,0.18000000000000002,1.7600000000000002,14.079999999999998
Battlefield 4,3336,10065.0,6.41,5.57,0.4600000000000001,1.5999999999999996,14.030000000000001
LEGO Batman: The Videogame,18379,10040.0,7.709999999999999,4.05,0.0,1.9,13.67
Donkey Kong Country,1654,5997.0,6.6000000000000005,2.9099999999999997,3.59,0.43,13.530000000000001
Mario & Sonic at the Olympic Games,276,4015.0,4.22,6.38,1.1,1.49,13.2
Assassin's Creed IV: Black Flag,10928,12078.0,6.169999999999999,5.18,0.2,1.6500000000000001,13.159999999999998
FIFA 12,27143,14077.0,2.08,8.5,0.15,2.41,13.150000000000002
Grand Theft Auto III,16135,4003.0,6.99,4.52,0.3,1.3,13.11
Assassin's Creed III,7707,8048.0,6.24,4.93,0.19,1.74,13.1
Super Smash Bros. Brawl,40,2008.0,6.75,2.61,2.66,1.02,13.04
Red Dead Redemption,259,4020.0,6.49,4.58,0.26,1.6,12.94
Just Dance 3,4113,6033.0,7.85,3.76,0.0,1.32,12.92
Destiny,2465,8056.0,6.59,4.12,0.28,1.6199999999999999,12.61
FIFA Soccer 11,17791,14070.0,1.94,8.01,0.09,2.51,12.56
Super Smash Bros. for Wii U and 3DS,302,4028.0,5.83,2.41,3.2199999999999998,1.0,12.469999999999999
Fallout 4,2030,6045.0,5.42,5.04,0.25,1.5700000000000003,12.280000000000001
Animal Crossing: Wild World,42,2005.0,2.55,3.52,5.33,0.88,12.27
Mario Kart 7,43,2011.0,4.74,3.91,2.67,0.89,12.21
Halo 3,44,2007.0,7.97,2.83,0.13,1.21,12.14
LEGO Indiana Jones: The Original Adventures,20377,12048.0,6.819999999999999,3.2299999999999995,0.0,2.03,12.049999999999999
Pokemon HeartGold/Pokemon SoulSilver,46,2009.0,4.4,2.77,3.96,0.77,11.9
The Legend of Zelda: Ocarina of Time,364,4009.0,6.129999999999999,3.16,2.07,0.45999999999999996,11.809999999999999
Star Wars Battlefront (2015),4229,6045.0,5.0,4.88,0.24,1.58,11.7
Gran Turismo 4,48,2004.0,3.01,0.01,1.1,7.53,11.66
Super Mario Galaxy,49,2007.0,6.16,3.4,1.2,0.76,11.52
Assassin's Creed II,3862,6028.0,5.65,3.96,0.29,1.49,11.41
Pokemon Omega Ruby/Pokemon Alpha Sapphire,50,2014.0,4.23,3.37,3.08,0.65,11.33
Assassin's Creed,2640,6022.0,5.199999999999999,4.4799999999999995,0.16,1.46,11.299999999999999
Grand Theft Auto: Liberty City Stories,452,4011.0,4.46,4.23,0.31,2.25,11.26
Batman: Arkham City,9169,8045.0,6.0200000000000005,3.68,0.15,1.33,11.2
Super Mario Land 2: 6 Golden Coins,51,1992.0,6.16,2.04,2.69,0.29,11.18
Diablo III,6490,10066.0,4.869999999999999,4.54,0.21,1.4400000000000002,11.08
Need for Speed Underground 2,28034,12025.0,5.21,4.409999999999999,0.09,1.2500000000000002,10.97
Gran Turismo,53,1997.0,4.02,3.87,2.54,0.52,10.95
Super Mario 3D Land,54,2011.0,4.89,2.99,2.13,0.78,10.79
Gran Turismo 5,55,2010.0,2.96,4.88,0.81,2.12,10.77
FIFA Soccer 10,22559,14063.0,1.94,6.23,0.07,2.4899999999999993,10.74
Super Mario All-Stars,58,1993.0,5.99,2.15,2.12,0.29,10.55
The Last of Us,384,4027.0,4.19,4.15,0.35000000000000003,1.83,10.54
Pokemon FireRed/Pokemon LeafGreen,59,2004.0,4.34,2.65,3.15,0.35,10.49
Need for Speed Underground,22012,10015.0,5.260000000000001,3.98,0.09,1.1400000000000001,10.46
Star Wars: The Force Unleashed,7905,12048.0,5.319999999999999,2.97,0.01,1.9100000000000001,10.23
Dr. Mario,387,3979.0,4.800000000000001,1.56,3.52,0.30000000000000004,10.19
Guitar Hero: World Tour,17047,10041.0,6.210000000000001,2.2299999999999995,0.0,1.6500000000000001,10.08
Madden NFL 07,38917,16048.0,8.659999999999998,0.44000000000000006,0.03,0.9300000000000002,10.03
Fallout 3,2614,6024.0,5.56,3.11,0.16,1.11,9.959999999999999
Halo: Reach,63,2010.0,7.03,1.98,0.08,0.78,9.88
Mario Kart 64,64,1996.0,5.55,1.94,2.23,0.15,9.87
LEGO Marvel Super Heroes,25103,18117.0,4.41,4.140000000000001,0.08,1.23,9.86
New Super Mario Bros. 2,65,2012.0,3.66,3.07,2.47,0.63,9.82
Zumba Fitness,4203,6030.0,5.5200000000000005,3.33,0.0,0.9400000000000001,9.79
Halo 4,66,2012.0,6.63,2.36,0.04,0.73,9.76
Final Fantasy VII,67,1997.0,3.01,2.47,3.28,0.96,9.72
Just Dance 2,69,2010.0,5.84,2.89,0.01,0.78,9.52
Gran Turismo 2,70,1999.0,3.88,3.42,1.69,0.5,9.49
FIFA Soccer 08,24640,14049.0,1.9600000000000002,3.9699999999999998,0.04,3.53,9.489999999999998
Watch Dogs,17368,12084.0,3.8000000000000003,4.04,0.22000000000000003,1.4400000000000002,9.489999999999998
Assassin's Creed: Revelations,3252,6033.0,3.8000000000000003,3.97,0.14,1.29,9.19
Animal Crossing: New Leaf,74,2012.0,2.01,2.32,4.36,0.41,9.09
Madden NFL 06,27621,12030.0,7.680000000000001,0.46,0.02,0.8600000000000001,9.030000000000001
Pac-Man,1730,3966.0,7.550000000000001,0.53,0.85,0.1,9.03
Mario Party DS,75,2007.0,4.46,1.88,1.98,0.7,9.02
Just Dance 4,11237,8048.0,5.52,2.6700000000000004,0.0,0.73,8.93
Medal of Honor: Frontline,4780,6006.0,4.390000000000001,3.3000000000000003,0.17,1.07,8.91
The Legend of Zelda: Twilight Princess,1263,4012.0,4.98,2.55,0.64,0.74,8.9
Super Mario Kart,77,1992.0,3.54,1.24,3.81,0.18,8.76
Resident Evil 5,12665,6027.0,4.08,2.41,1.2000000000000002,1.0,8.690000000000001
Far Cry 4,8154,10070.0,2.8400000000000003,4.45,0.19,1.1800000000000002,8.68
FIFA Soccer 09,22861,12048.0,1.7000000000000002,4.02,0.08,2.8600000000000003,8.669999999999998
Medal of Honor,5719,8028.0,4.47,3.18,0.11000000000000001,0.8500000000000001,8.610000000000001
Halo 2,10898,4011.0,6.83,1.59,0.05,0.1,8.59
Need for Speed: ProStreet,29917,14050.0,3.35,2.56,0.09999999999999999,2.61,8.58
LEGO Harry Potter: Years 1-4,21733,12060.0,4.01,3.5,0.0,1.01,8.53
LittleBigPlanet,742,4017.0,3.44,3.29,0.18000000000000002,1.5899999999999999,8.5
Wii Party,79,2010.0,1.79,3.53,2.49,0.68,8.49
Pro Evolution Soccer 2008,23803,12044.0,0.28,3.38,1.3,3.51,8.47
Donkey Kong Country Returns,1050,4023.0,3.98,2.46,1.4300000000000002,0.59,8.46
Tony Hawk's Pro Skater,2458,5999.0,6.0,2.1599999999999997,0.03,0.28,8.459999999999999
Mario Party 8,81,2007.0,3.81,2.3,1.58,0.73,8.42
Fallout: New Vegas,2464,6030.0,4.75,2.5900000000000003,0.14,0.9400000000000001,8.41
Spider-Man: The Movie,4798,8008.0,5.5600000000000005,2.41,0.05,0.37,8.4
Mortal Kombat,20559,10020.0,6.039999999999999,1.6900000000000002,0.0,0.68,8.399999999999999
Pokemon Black 2/Pokemon White 2,82,2012.0,2.91,1.86,3.14,0.43,8.33
Kingdom Hearts,1138,4015.0,4.54,1.5699999999999998,1.74,0.31,8.15
Madden NFL 08,32697,16056.0,7.1499999999999995,0.22999999999999998,0.0,0.78,8.149999999999999
Mario & Sonic at the Olympic Winter Games,605,4018.0,3.11,3.65,0.49,0.86,8.1
GoldenEye 007,85,1997.0,5.8,2.01,0.13,0.15,8.09
Batman: Arkham Asylum,6247,6027.0,4.43,2.58,0.09000000000000001,0.97,8.07
Tony Hawk's Pro Skater 3,22864,12009.0,5.159999999999999,2.29,0.03,0.5800000000000001,8.05
Final Fantasy X,87,2001.0,2.91,2.07,2.73,0.33,8.05
NBA 2K16,16667,10075.0,5.64,1.1400000000000001,0.06,1.1700000000000002,8.03
Assassin's Creed: Unity,4345,6042.0,3.6099999999999994,3.18,0.08,1.05,7.93
Final Fantasy VIII,88,1999.0,2.28,1.72,3.63,0.23,7.86
Pokémon Platinum Version,89,2008.0,2.82,1.78,2.69,0.55,7.84
The Elder Scrolls IV: Oblivion,7204,6019.0,4.52,2.12,0.27,0.8700000000000001,7.77
Monopoly,29584,16032.0,4.67,2.4900000000000007,0.0,0.53,7.7
Super Mario Galaxy 2,92,2010.0,3.66,2.42,0.98,0.64,7.69
Harry Potter and the Sorcerer's Stone,44736,14013.0,3.44,3.47,0.32,0.42000000000000004,7.640000000000001
Harry Potter and the Chamber of Secrets,26658,12012.0,3.6599999999999997,3.18,0.11,0.68,7.64
Spider-Man 2,13527,12025.0,4.74,2.14,0.05,0.6900000000000001,7.64
Resident Evil 4,16620,8024.0,4.4,1.8399999999999999,0.8200000000000001,0.53,7.6000000000000005
Namco Museum,6745,6004.0,5.98,1.4200000000000004,0.05,0.15,7.6000000000000005
Madden NFL 2005,15634,10020.0,6.8500000000000005,0.53,0.01,0.21,7.6
Crash Bandicoot 2: Cortex Strikes Back,96,1997.0,3.78,2.17,1.31,0.31,7.58
Madden NFL 10,9206,10045.0,6.56,0.34,0.0,0.67,7.57
Call of Duty 3,4425,6018.0,4.17,2.4299999999999997,0.05,0.91,7.5600000000000005
LEGO Star Wars III: The Clone Wars,18876,14077.0,3.95,2.81,0.0,0.82,7.56
Final Fantasy XIII,924,4019.0,3.01,1.92,1.8800000000000001,0.72,7.53
Tomb Raider II,875,3994.0,3.21,3.71,0.2,0.41000000000000003,7.53
Far Cry 3,2951,6036.0,2.4699999999999998,3.72,0.12000000000000001,1.1400000000000001,7.470000000000001
Super Mario Bros. 2,97,1988.0,5.39,1.18,0.7,0.19,7.46
Madden NFL 16,5715,8060.0,5.780000000000001,0.54,0.0,1.0999999999999999,7.42
WWE SmackDown vs Raw 2008,17023,12042.0,3.4,1.86,0.02,2.15,7.409999999999999
LEGO Star Wars II: The Original Trilogy,40504,16048.0,5.08,1.55,0.01,0.6900000000000001,7.349999999999999
Rock Band,4383,0.0,4.98,1.37,0.0,0.98,7.32
Guitar Hero II,933,4013.0,5.82,0.65,0.0,0.8500000000000001,7.32
The Legend of Zelda: A Link to the Past,784,3993.0,4.17,1.4300000000000002,1.48,0.23,7.3100000000000005
Street Fighter IV,10236,4018.0,3.9099999999999997,1.81,0.73,0.81,7.2700000000000005
Just Dance,103,2009.0,3.51,3.03,0.0,0.73,7.27
LEGO Star Wars: The Video Game,21084,10025.0,4.720000000000001,2.01,0.01,0.5199999999999999,7.259999999999999
Crash Bandicoot: The Wrath of Cortex,5193,6005.0,3.1199999999999997,2.98,0.24,0.9099999999999999,7.24
Battlefield: Bad Company 2,3716,6030.0,3.61,2.67,0.12,0.77,7.16
Tekken 3,106,1998.0,3.27,2.22,1.4,0.29,7.16
Madden NFL 2004,11675,6009.0,5.8999999999999995,0.46,0.01,0.78,7.14
Madden NFL 09,19360,12048.0,6.07,0.31,0.0,0.75,7.14
Crash Bandicoot 3: Warped,107,1998.0,3.68,1.75,1.42,0.28,7.13
The Simpsons Game,10654,12042.0,2.53,2.6100000000000003,0.0,1.98,7.12
Borderlands 2,5873,8050.0,3.79,2.3000000000000003,0.15000000000000002,0.8999999999999999,7.109999999999999
Super Smash Bros. Melee,108,2001.0,4.41,1.04,1.39,0.22,7.07
NBA 2K15,4279,8056.0,5.010000000000001,1.13,0.03,0.89,7.0600000000000005
Final Fantasy III,12576,8002.0,1.77,0.05,5.12,0.12,7.05
Sonic the Hedgehog,8104,6003.0,3.88,1.95,0.3,0.9,7.049999999999999
The Simpsons: Hit & Run,3759,6009.0,3.1999999999999997,2.97,0.0,0.8900000000000001,7.040000000000001
Super Mario World 2: Yoshi's Island,776,3997.0,3.4,1.06,2.38,0.18,7.03
Madden NFL 15,4298,8056.0,5.66,0.58,0.0,0.73,6.97
Mario Kart 8,109,2014.0,3.13,2.07,1.27,0.49,6.96
Mario Kart: Double Dash!!,111,2003.0,4.12,1.77,0.87,0.19,6.95
Assassin's Creed: Brotherhood,4281,6031.0,4.86,1.3,0.14,0.64,6.93
Need For Speed: Undercover,27476,14056.0,2.48,2.5499999999999994,0.12,1.79,6.92
FIFA 17,27638,10080.0,0.5000000000000001,5.4799999999999995,0.06999999999999999,0.85,6.909999999999999
PES 2009: Pro Evolution Soccer,10400,8033.0,0.5,2.76,1.0,2.619999999999999,6.859999999999999
Cars,25888,16048.0,5.31,0.97,0.0,0.6000000000000001,6.8599999999999985
Uncharted 3: Drake's Deception,116,2011.0,2.77,2.8,0.19,1.06,6.83
Crash Bandicoot,117,1996.0,3.23,2.35,0.94,0.3,6.82
Tomb Raider (2013),11478,8054.0,2.33,3.2800000000000002,0.15,1.04,6.8
Gears of War 2,119,2008.0,4.15,1.92,0.06,0.64,6.76
Uncharted 2: Among Thieves,120,2009.0,3.27,2.25,0.21,1.0,6.73
Medal of Honor: Rising Sun,6506,6009.0,3.0700000000000003,2.6799999999999997,0.13,0.8600000000000001,6.72
NBA 2K14,5302,8052.0,5.12,0.9500000000000001,0.05,0.6000000000000001,6.72
Madden NFL 11,13111,8040.0,5.88,0.29000000000000004,0.0,0.52,6.680000000000001
Big Brain Academy,123,2005.0,1.67,2.78,1.6,0.62,6.67
Star Wars: Battlefront II,11265,8020.0,4.47,1.6,0.04,0.5700000000000001,6.67
Teenage Mutant Ninja Turtles,32653,12008.0,4.9799999999999995,1.1800000000000002,0.31,0.2,6.669999999999999
The Lord of the Rings: The Two Towers,9679,8008.0,3.33,2.4999999999999996,0.08,0.75,6.65
Tony Hawk's Pro Skater 2,4646,6002.0,4.49,1.88,0.02,0.23,6.619999999999999
Just Dance 2014,19943,12078.0,3.68,2.31,0.0,0.6000000000000001,6.58
Madden NFL 13,33357,12072.0,5.669999999999999,0.4,0.0,0.4700000000000001,6.53
The Legend of Zelda,128,1986.0,3.74,0.93,1.69,0.14,6.51
Tony Hawk's Underground,8110,8012.0,4.11,1.84,0.01,0.5,6.47
Halo: Combat Evolved,14016,4004.0,4.99,1.32,0.08,0.08,6.47
Finding Nemo,6718,8012.0,4.02,1.9899999999999998,0.09,0.36000000000000004,6.46
Resident Evil 2,16420,6000.0,2.31,1.57,2.09,0.46,6.44
Kung Fu Panda,26277,12048.0,3.42,1.96,0.0,1.02,6.42
Need for Speed Carbon,28337,14042.0,3.55,2.14,0.12000000000000001,0.59,6.419999999999999
Pokémon Emerald Version,131,2004.0,2.57,1.58,2.06,0.21,6.41
Madden NFL 2002,18844,10005.0,4.920000000000001,0.93,0.01,0.5700000000000001,6.41
Pokémon Crystal Version,133,2000.0,2.55,1.56,1.29,0.99,6.39
FIFA Soccer 07,32545,12036.0,1.5399999999999998,3.5399999999999996,0.03,1.27,6.38
Michael Jackson: The Experience,31719,12063.0,3.92,1.85,0.01,0.6000000000000001,6.37
The Legend of Zelda: The Wind Waker,1213,4015.0,3.5300000000000002,1.56,1.03,0.26,6.369999999999999
LEGO Batman 2: DC Super Heroes,24224,14085.0,3.4,2.31,0.0,0.6500000000000001,6.369999999999999
Halo 3: ODST,134,2009.0,4.34,1.35,0.06,0.61,6.36
Frogger,1015,3978.0,5.85,0.39,0.0,0.13,6.36
Super Mario Sunshine,136,2002.0,4.01,1.26,0.87,0.17,6.31
Street Fighter II: The World Warrior,137,1992.0,2.47,0.83,2.87,0.12,6.3
World of Warcraft,138,2004.0,0.07,6.21,0.0,0.0,6.28
Driver,139,1999.0,3.11,2.8,0.02,0.33,6.27
Skylanders SWAP Force,25238,14091.0,3.5300000000000007,2.08,0.0,0.6600000000000001,6.26
Kinect Sports,140,2010.0,3.92,1.78,0.03,0.51,6.24
Gears of War 3,141,2011.0,4.05,1.62,0.07,0.49,6.24
Carnival Games,1111,4015.0,3.36,2.14,0.05,0.61,6.1499999999999995
Gears of War,15926,4013.0,3.54,1.91,0.07,0.6,6.13
Golf,1076,3973.0,2.05,0.6100000000000001,3.38,0.08,6.13
Metal Gear Solid,12096,3998.0,3.18,1.83,0.8500000000000001,0.24,6.1000000000000005
NBA 2K13,29065,10060.0,4.79,0.7400000000000001,0.060000000000000005,0.5,6.1000000000000005
The Simpsons: Road Rage,10871,8006.0,3.85,1.8,0.0,0.46,6.09
Toy Story 3: The Video Game,9720,10050.0,2.7600000000000002,2.56,0.02,0.7300000000000001,6.080000000000001
Dragon Quest VIII: Journey of the Cursed King,2600,4019.0,0.65,0.75,4.47,0.2,6.07
Metal Gear Solid 2: Sons of Liberty,143,2001.0,2.45,2.01,0.87,0.72,6.05
Grand Theft Auto: Vice City Stories,2339,4013.0,2.48,2.05,0.19,1.3399999999999999,6.05
Sonic the Hedgehog 2,144,1992.0,4.47,1.2,0.16,0.19,6.03
Metal Gear Solid 4: Guns of the Patriots,145,2008.0,2.63,1.74,0.83,0.83,6.03
Tom Clancy's Splinter Cell,18699,8011.0,3.25,2.23,0.0,0.54,6.0
Tom Clancy's The Division,6305,6048.0,2.68,2.37,0.15,0.78,5.989999999999999
Pro Evolution Soccer 2010,27301,12054.0,0.73,2.6399999999999997,0.8700000000000001,1.73,5.9799999999999995
L.A. Noire,968,4022.0,2.79,2.27,0.13999999999999999,0.75,5.95
Final Fantasy XII,148,2006.0,1.88,0.0,2.33,1.74,5.95
Dragon Quest VII: Warriors of Eden,1598,4013.0,0.27,0.18000000000000002,5.3999999999999995,0.03,5.89
Need for Speed: Hot Pursuit,10453,8040.0,2.3800000000000003,2.67,0.03,0.8,5.89
Madden NFL 2003,11012,8008.0,4.800000000000001,0.48,0.01,0.6100000000000001,5.89
Middle-Earth: Shadow of Mordor,14087,10070.0,2.33,2.65,0.07,0.8200000000000001,5.8500000000000005
Dragon Quest IX: Sentinels of the Starry Skies,150,2009.0,0.66,0.69,4.35,0.15,5.84
Mass Effect 3,10131,8048.0,3.11,2.0,0.06,0.6,5.779999999999999
Monster Hunter Tri,4109,6032.0,1.3900000000000001,0.8899999999999999,3.23,0.22,5.76
Tony Hawk's Pro Skater 4,9570,8008.0,3.58,1.75,0.01,0.42,5.75
Tekken 2,153,1996.0,2.26,1.89,1.36,0.23,5.74
Borderlands,9199,6027.0,3.5999999999999996,1.4900000000000002,0.03,0.62,5.7299999999999995
Cooking Mama,154,2006.0,3.13,1.94,0.07,0.58,5.72
The Lord of the Rings: The Return of the King,8740,8012.0,3.14,1.9500000000000002,0.05,0.54,5.67
Tomb Raider,2254,3992.0,3.25,2.04,0.13,0.24,5.66
Donkey Kong,3575,5958.0,3.16,0.75,1.3900000000000001,0.37000000000000005,5.659999999999999
Kingdom Hearts II,1745,4019.0,2.72,1.01,1.5599999999999998,0.36,5.65
LEGO Pirates of the Caribbean: The Video Game,30796,14077.0,2.45,2.52,0.0,0.67,5.65
The Witcher 3: Wild Hunt,4967,6045.0,1.82,2.8899999999999997,0.21,0.7200000000000001,5.64
Saints Row: The Third,6220,6033.0,2.27,2.37,0.25,0.75,5.64
Madden NFL 12,12722,8044.0,4.989999999999999,0.26,0.0,0.38,5.619999999999999
Skylanders Giants,18084,10060.0,3.0100000000000002,1.9800000000000002,0.0,0.6000000000000001,5.589999999999999
Star Wars Episode III: Revenge of the Sith,10572,8020.0,3.06,1.99,0.03,0.51,5.589999999999999
Star Wars: Battlefront,8973,6012.0,3.23,1.79,0.03,0.53,5.56
Fight Night Round 3,12907,10030.0,3.9299999999999997,1.1,0.02,0.52,5.550000000000001
Super Smash Bros.,158,1999.0,2.95,0.6,1.97,0.04,5.55
Madden NFL 25,6931,8052.0,4.85,0.28,0.0,0.4,5.540000000000001
NBA 2K12,21418,10055.0,4.529999999999999,0.5200000000000001,0.060000000000000005,0.41000000000000003,5.530000000000001
Winning Eleven: Pro Evolution Soccer 2007,37722,10030.0,0.2,3.12,1.3399999999999999,0.88,5.529999999999999
Forza Motorsport 3,161,2009.0,2.99,1.92,0.1,0.51,5.51
Monster Hunter Freedom Unite,162,2008.0,0.47,0.57,4.13,0.34,5.5
Sega Superstars Tennis,15007,10040.0,2.5500000000000003,2.08,0.0,0.8500000000000001,5.49
Super Mario Advance,163,2001.0,3.14,1.24,0.91,0.2,5.49
God of War III,3431,4025.0,2.97,1.6500000000000001,0.13,0.73,5.47
Mario Kart: Super Circuit,164,2001.0,2.62,1.64,0.99,0.23,5.47
Sonic Heroes,3949,6009.0,2.5,2.24,0.13,0.5800000000000001,5.460000000000001
Asteroids,2040,3978.0,4.64,0.69,0.0,0.12000000000000001,5.459999999999999
Pokemon Stadium,166,1999.0,3.18,1.24,0.94,0.09,5.45
Fable III,5893,4021.0,3.6799999999999997,1.28,0.05,0.43,5.45
Skylanders: Spyro's Adventure,19161,10055.0,2.6899999999999995,2.1199999999999997,0.0,0.6300000000000001,5.44
NBA 2K11,22985,12060.0,4.629999999999999,0.35,0.04,0.4200000000000001,5.42
Need for Speed: Shift,16722,8036.0,1.5799999999999998,2.8099999999999996,0.060000000000000005,0.97,5.419999999999999
MySims,16151,6022.0,2.5,2.18,0.12,0.58,5.4
Batman: Arkham Knight,11213,6045.0,2.43,2.07,0.1,0.75,5.37
Resident Evil,18319,5999.0,2.05,1.16,1.4,0.73,5.34
The LEGO Movie Videogame,33457,16112.0,2.3,2.2800000000000002,0.11,0.65,5.329999999999999
Rock Band 2,7428,8032.0,4.14,0.68,0.0,0.5,5.32
Pokemon Pinball,172,1999.0,3.02,1.12,1.01,0.16,5.31
Final Fantasy IX,174,2000.0,1.62,0.77,2.78,0.14,5.3
Final Fantasy X-2,175,2003.0,1.92,1.08,2.11,0.17,5.29
Resident Evil 6,40886,10068.0,2.07,1.6400000000000001,0.95,0.6,5.28
The Incredibles,3950,6012.0,2.76,2.02,0.08,0.42000000000000004,5.27
Donkey Kong 64,176,1999.0,3.33,0.79,1.09,0.06,5.27
Professor Layton and the Curious Village,178,2007.0,1.22,2.48,1.03,0.52,5.26
LEGO Indiana Jones 2: The Adventure Continues,23890,12054.0,2.89,1.7200000000000002,0.0,0.62,5.2299999999999995
NBA Jam,30409,14022.0,4.109999999999999,0.8500000000000001,0.0,0.25,5.22
True Crime: Streets of LA,5375,6009.0,3.2899999999999996,1.53,0.02,0.38,5.210000000000001
WWE SmackDown vs. Raw 2010,15374,12054.0,2.68,1.42,0.02,1.11,5.21
New Super Mario Bros. U,184,2012.0,2.32,1.3,1.27,0.31,5.19
Super Mario Land 3: Wario Land,185,1994.0,2.49,0.98,1.57,0.15,5.19
LEGO Harry Potter: Years 5-7,33769,2012.0,2.4,2.1500000000000004,0.0,0.6300000000000001,5.170000000000001
The Legend of Zelda: Phantom Hourglass,187,2007.0,1.9,1.83,0.95,0.49,5.17
Donkey Kong Country 2: Diddy's Kong Quest,188,1995.0,2.1,0.74,2.2,0.11,5.15
Tomodachi Life,189,2013.0,0.96,2.02,1.89,0.28,5.15
James Bond 007: Agent Under Fire,5504,6005.0,3.11,1.4999999999999998,0.1,0.45999999999999996,5.1499999999999995
FIFA Soccer 06,38206,10025.0,1.2700000000000002,2.9599999999999995,0.04,0.86,5.13
Kirby's Dream Land,192,1992.0,2.71,0.61,1.7,0.11,5.13
